company¬,country¬,director¬,genre¬,name¬,rating¬,runtime¬,writer¬,year¬,,,
Columbia Pictures Corporation¬,USA¬,Rob Reiner¬,Adventure¬,Stand by Me¬,R¬,89¬,Stephen King¬,1986¬,,,
Paramount Pictures¬,USA¬,John Hughes¬,Comedy¬,Ferris Bueller's Day Off¬,PG-13¬,103¬,John Hughes¬,1986¬,,,
Paramount Pictures¬,USA¬,Tony Scott¬,Action¬,Top Gun¬,PG¬,110¬,Jim Cash¬,1986¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,James Cameron¬,Action¬,Aliens¬,R¬,137¬,James Cameron¬,1986¬,,,
Walt Disney Pictures¬,USA¬,Randal Kleiser¬,Adventure¬,Flight of the Navigator¬,PG¬,90¬,Mark H. Baker¬,1986¬,,,
Hemdale¬,UK¬,Oliver Stone¬,Drama¬,Platoon¬,R¬,120¬,Oliver Stone¬,1986¬,,,
Henson Associates (HA)¬,UK¬,Jim Henson¬,Adventure¬,Labyrinth¬,PG¬,101¬,Dennis Lee¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,David Lynch¬,Drama¬,Blue Velvet¬,R¬,120¬,David Lynch¬,1986¬,,,
Paramount Pictures¬,USA¬,Howard Deutch¬,Comedy¬,Pretty in Pink¬,PG-13¬,96¬,John Hughes¬,1986¬,,,
SLM Production Group¬,USA¬,David Cronenberg¬,Drama¬,The Fly¬,R¬,96¬,George Langelaan¬,1986¬,,,
Rimfire Films¬,Australia¬,Peter Faiman¬,Adventure¬,Crocodile Dundee¬,PG-13¬,97¬,Ken Shadie¬,1986¬,,,
Thorn EMI Screen Entertainment¬,UK¬,Russell Mulcahy¬,Action¬,Highlander¬,R¬,116¬,Gregory Widen¬,1986¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,David Seltzer¬,Comedy¬,Lucas¬,PG-13¬,100¬,David Seltzer¬,1986¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,John Carpenter¬,Action¬,Big Trouble in Little China¬,PG-13¬,99¬,Gary Goldman¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Michael Mann¬,Crime¬,Manhunter¬,R¬,120¬,Thomas Harris¬,1986¬,,,
Producers Sales Organization (PSO)¬,USA¬,Adrian Lyne¬,Drama¬,9ﾽ Weeks¬,R¬,117¬,Elizabeth McNeill¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Stephen King¬,Action¬,Maximum Overdrive¬,R¬,98¬,Stephen King¬,1986¬,,,
"Geffen Company, The¬",USA¬,Frank Oz¬,Comedy¬,Little Shop of Horrors¬,PG-13¬,94¬,Howard Ashman¬,1986¬,,,
New Century Entertainment Corporation¬,USA¬,Mike Marvin¬,Action¬,The Wraith¬,PG-13¬,93¬,Mike Marvin¬,1986¬,,,
Universal Pictures¬,USA¬,Willard Huyck¬,Action¬,Howard the Duck¬,PG¬,110¬,Steve Gerber¬,1986¬,,,
New Line Cinema¬,USA¬,Stephen Herek¬,Action¬,Critters¬,PG-13¬,82¬,Domonic Muir¬,1986¬,,,
Orion Pictures¬,USA¬,Alan Metter¬,Comedy¬,Back to School¬,PG-13¬,96¬,Rodney Dangerfield¬,1986¬,,,
Cannon Films¬,USA¬,Tobe Hooper¬,Comedy¬,The Texas Chainsaw Massacre 2¬,UNRATED¬,89¬,L.M. Kit Carson¬,1986¬,,,
Jay Weston Productions¬,USA¬,Clint Eastwood¬,Action¬,Heartbreak Ridge¬,R¬,130¬,James Carabatsos¬,1986¬,,,
Paramount Pictures¬,USA¬,Leonard Nimoy¬,Adventure¬,Star Trek IV: The Voyage Home¬,PG¬,119¬,Gene Roddenberry¬,1986¬,,,
