Company,Country,Director,Genre,Title,Runtime,Writer,Year
Columbia Pictures Corporation,USA,Rob Reiner,Adventure,StandbyMe,89,Stephen King,1986
Paramount Pictures,USA,John Hughes,Comedy,FerrisBuellersDayOff,103,John Hughes,1986
Paramount Pictures,USA,Tony Scott,Action,TopGun,110,Jim Cash,1986
Twentieth Century Fox Film Corporation,USA,James Cameron,Action,Aliens,137,James Cameron,1986
Walt Disney Pictures,USA,Randal Kleiser,Adventure,FlightoftheNavigator,90,Mark H. Baker,1986
Hemdale,UK,Oliver Stone,Drama,Platoon,120,Oliver Stone,1986
Henson Associates (HA),UK,Jim Henson,Adventure,Labyrinth,101,Dennis Lee,1986
De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,BlueVelvet,120,David Lynch,1986
Paramount Pictures,USA,Howard Deutch,Comedy,PrettyinPink,96,John Hughes,1986
SLM Production Group,USA,David Cronenberg,Drama,TheFly,96,George Langelaan,1986
Rimfire Films,Australia,Peter Faiman,Adventure,CrocodileDundee,97,Ken Shadie,1986
Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,Highlander,116,Gregory Widen,1986
Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,Lucas,100,David Seltzer,1986
Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,BigTroubleinLittleChina,99,Gary Goldman,1986
De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,Manhunter,120,Thomas Harris,1986
Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,9Weeks,117,Elizabeth McNeill,1986
De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,MaximumOverdrive,98,Stephen King,1986
Geffen Company, The,,USA,Frank Oz,Comedy,LittleShopofHorrors,94,Howard Ashman,1986
New Century Entertainment Corporation,USA,Mike Marvin,Action,TheWraith,93,Mike Marvin,1986
Universal Pictures,USA,Willard Huyck,Action,HowardtheDuck,110,Steve Gerber,1986
New Line Cinema,USA,Stephen Herek,Action,Critters,82,Domonic Muir,1986
Orion Pictures,USA,Alan Metter,Comedy,BacktoSchool,96,Rodney Dangerfield,1986
Cannon Films,USA,Tobe Hooper,Comedy,TheTexasChainsawMassacre2,89,L.M. Kit Carson,1986
Jay Weston Productions,USA,Clint Eastwood,Action,HeartbreakRidge,130,James Carabatsos,1986
Paramount Pictures,USA,Leonard Nimoy,Adventure,StarTrekIVTheVoyageHome,119,Gene Roddenberry,1986
TriStar Pictures,USA,John Badham,Comedy,ShortCircuit,98,S.S. Wilson,1986
Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,TheNameoftheRose,130,Umberto Eco,1986
TriStar Pictures,USA,Sidney J. Furie,Action,IronEagle,117,Kevin Alyn Elders,1986
Paramount Pictures,USA,Michael Ritchie,Action,TheGoldenChild,94,Dennis Feldman,1986
Hemdale,USA,Tim Hunter,Crime,RiversEdge,99,Neal Jimenez,1986
L.A. Films,USA,John Landis,Comedy,ThreeAmigos,104,Steve Martin,1986
Warner Bros.,USA,George P. Cosmatos,Action,Cobra,87,Paula Gosling,1986
Gaumont,France,Jean-Jacques Beineix,Drama,BettyBlue,120,Philippe Djian,1986
Warner Bros.,UK,Roland Joff�,Adventure,TheMission,125,Robert Bolt,1986
Touchstone Pictures,USA,Martin Scorsese,Drama,TheColorofMoney,119,Walter Tevis,1986
Columbia Pictures Corporation,USA,John G. Avildsen,Action,TheKarateKidPartII,113,Robert Mark Kamen,1986
Lorimar Productions,USA,Nick Castle,Drama,TheBoyWhoCouldFly,114,Nick Castle,1986
HBO Films,USA,Robert Harmon,Thriller,TheHitcher,97,Eric Red,1986
Amblin Entertainment,USA,Richard Benjamin,Comedy,TheMoneyPit,91,David Giler,1986
Paramount Pictures,USA,Tom McLoughlin,Horror,JasonLivesFridaythe13thPartVI,86,Tom McLoughlin,1986
The Saul Zaentz Company,USA,Peter Weir,Adventure,TheMosquitoCoast,117,Paul Theroux,1986
Universal Pictures,USA,Don Bluth,Animation,AnAmericanTail,80,Judy Freudberg,1986
Initial Pictures,UK,Alex Cox,Biography,SidandNancy,112,Alex Cox,1986
De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,KingKongLives,105,Ronald Shusett,1986
Empire Pictures,USA,Stuart Gordon,Horror,FromBeyond,86,H.P. Lovecraft,1986
TriStar Pictures,USA,Francis Ford Coppola,Comedy,PeggySueGotMarried,103,Jerry Leichtling,1986
Freddie Fields Productions,USA,Brian Gibson,Horror,PoltergeistIITheOtherSide,91,Mark Victor,1986
Empire Pictures,USA,John Carl Buechler,Comedy,Troll,82,Ed Naha,1986
Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,RunningScared,107,Gary DeVore,1986
Maljack Productions,USA,John McNaughton,Biography,HenryPortraitofaSerialKiller,83,Richard Fire,1986
ABC Motion Pictures,USA,Harry Winer,Adventure,SpaceCamp,107,Clifford Green,1986
Orion Pictures,USA,Woody Allen,Comedy,HannahandHerSisters,107,Woody Allen,1986
Walt Disney Pictures,USA,Ron Clements,Animation,TheGreatMouseDetective,74,Peter Young,1986
De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,RawDeal,106,Luciano Vincenzoni,1986
Sunbow Productions,USA,Nelson Shin,Animation,TheTransformersTheMovie,84,Ron Friedman,1986
TaliaFilm II Productions,USA,Hal Needham,Drama,Rad,91,Sam Bernard,1986
TriStar Pictures,USA,Fred Dekker,Comedy,NightoftheCreeps,88,Fred Dekker,1986
Cannon Pictures,USA,Tobe Hooper,Horror,InvadersfromMars,100,Richard Blake,1986
Columbia Pictures Corporation,USA,Walter Hill,Drama,Crossroads,99,John Fusco,1986
De Haven Productions,UK,David Anspaugh,Drama,Hoosiers,114,Angelo Pizzo,1986
Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,Sacrifice,149,Andrei Tarkovsky,1986
Cinema '85,USA,James Foley,Crime,AtCloseRange,111,Elliott Lewitt,1986
Blueline Productions,USA,Peter Markle,Drama,Youngblood,110,Peter Markle,1986
Seasonal Film Corporation,USA,Corey Yuen,Action,NoRetreatNoSurrender,,85,See-Yuen Ng,1986
Universal Pictures,USA,Anthony Perkins,Horror,PsicosisIII,93,Charles Edward Pogue,1986
Paramount Pictures,USA,Mike Nichols,Comedy,Heartburn,108,Nora Ephron,1986
Warner Bros.,USA,Michael Chapman,Adventure,TheClanoftheCaveBear,98,Jean M. Auel,1986
Golan-Globus Productions,USA,Menahem Golan,Action,TheDeltaForce,125,James Bruner,1986
Warner Bros.,USA,Wes Craven,Drama,DeadlyFriend,91,Diana Henstell,1986
TriStar Pictures,USA,Edward Zwick,Comedy,AboutLastNight,113,David Mamet,1986
Balcor Film Investors,USA,Steve Miner,Comedy,SoulMan,104,Carol Black,1986
A&M; Films,USA,Savage Steve Holland,Comedy,OneCrazySummer,93,Savage Steve Holland,1986
De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,TrickorTreat,98,Rhet Topham,1986
Paramount Pictures,USA,Ron Howard,Comedy,GungHo,112,Edwin Blum,1986
American Filmworks,USA,Sidney Lumet,Crime,TheMorningAfter,103,James Cresson,1986
Police Academy Productions,USA,Jerry Paris,Comedy,PoliceAcademy3BackinTraining,83,Neal Israel,1986
40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,ShesGottaHaveIt,84,Spike Lee,1986
Touchstone Pictures,USA,Jim Abrahams,Comedy,RuthlessPeople,93,Dale Launer,1986
Delphi V Productions,USA,Paul Michael Glaser,Action,BandoftheHand,109,Leo Garen,1986
Cannon Group,USA,John Frankenheimer,Crime,52PickUp,110,Elmore Leonard,1986
Paramount Pictures,USA,Randa Haines,Drama,ChildrenofaLesserGod,119,Mark Medoff,1986
Columbia Pictures Corporation,USA,Mark L. Lester,Action,ArmedandDangerous,88,Brian Grazer,1986
Black Snake,USA,Jim Jarmusch,Comedy,DownbyLaw,107,Jim Jarmusch,1986
Fuji Television Network,Japan,Masanori Hata,Adventure,TheAdventuresofMiloandOtis,90,Masanori Hata,1986
Religioso Primitiva,USA,Jonathan Demme,Comedy,SomethingWild,114,E. Max Frye,1986
Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,TheManhattanProject,117,Marshall Brickman,1986
Paramount Pictures,USA,Fred Walton,Horror,AprilFoolsDay,89,Danilo Bach,1986
Brooksfilms,USA,Alan Johnson,Action,Solarbabies,94,Walon Green,1986
Kings Road Entertainment,USA,Jim McBride,Comedy,TheBigEasy,102,Daniel Petrie Jr.,1986
Lawrence Gordon Productions,USA,Penny Marshall,Comedy,JumpinJackFlash,105,David Franzoni,1986
Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,Piratas,121,John Brownjohn,1986
Meltdown Productions,UK,Jimmy T. Murakami,Animation,WhentheWindBlows,80,Raymond Briggs,1986
Touchstone Pictures,USA,Jeff Kanew,Comedy,ToughGuys,104,James Orr,1986
Compa��a Iberoamericana de TV,Spain,Pedro Almod�var,Drama,Matador,110,Pedro Almod�var,1986
New World Pictures,USA,Harley Cokeliss,Action,BlackMoonRising,100,John Carpenter,1986
Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,TheBestofTimes,104,Ron Shelton,1986
Paragon Arts International,UK,Kevin Tenney,Horror,Witchboard,98,Kevin Tenney,1986
Touchstone Pictures,USA,Paul Mazursky,Comedy,DownandOutinBeverlyHills,103,Ren� Fauchois,1986
Capital Equipment Leasing,UK,Trevor Nunn,Biography,LadyJane,136,Chris Bryant,1986
Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,Quicksilver,105,Thomas Michael Donnelly,1986
Sunbow Productions,USA,Mike Joens,Animation,MyLittlePonyTheMovie,86,George Arthur Bloom,1986
Virgin Vision,UK,Ken Russell,Horror,Gothic,87,Lord Byron,1986
Producers Sales Organization (PSO),USA,Hal Ashby,Action,8MillionWaystoDie,115,Lawrence Block,1986
TriStar Pictures,USA,Richard Pearce,Crime,NoMercy,106,James Carabatsos,1986
Orion Pictures,USA,Gene Wilder,Comedy,HauntedHoneymoon,82,Gene Wilder,1986
Empire Pictures,USA,Ted Nicolaou,Comedy,TerrorVision,83,Ted Nicolaou,1986
Golan-Globus Productions,USA,Gary Nelson,Action,AllanQuatermainandtheLostCityofGold,99,H. Rider Haggard,1986
