id,MovieTitle,ReleaseDate,Genere1,Genere2,
1,ToyStory,1995,Animation,Children
2,GoldenEye,1995,Action,Adventure
3,FourRooms,1995,Thriller
4,GetShorty,1995,Action,Comedy
5,Copycat,1995,Crime,Drama
6,ShanghaiTriad,1995,Drama
7,TwelveMonkeys,1995,Drama,SciFi
8,Babe,1995,Children,Comedy
9,DeadManWalking,1995,Drama
10,RichardIII,1996,Drama,war
11,Seven,1995,Crime,Thriller
12,UsualSuspects,1995,Documentary,war
13,MightyAphrodite,1995,Comedy
14,Postino,1994,Fantasy,SciFi
15,MrHollandsOpus,1996,Drama
16,FrenchTwist,1995,Comedy,Romance
17,FromDuskTillDawn,1996,Action,Comedy
18,WhiteBalloon,1995,Fantasy
19,AntoniasLine,1995,Drama
20,AngelsandInsects,1995,Drama,Romance
21,MuppetTreasureIsland,1996,Action,Adventure
22,Braveheart,1996,Action,Drama
23,TaxiDriver,1996,Drama,Thriller
24,RumbleintheBronx,1996,Action,Adventure
25,Birdcage,1996,Crime
26,BrothersMcMullen,1995,Crime
27,BadBoys,1995,Action
28,Apollo13,1995,Action,Drama
29,BatmanForever,1995,Action,Adventure
30,Belledejour,1967,Drama
31,CrimsonTide,1995,Drama,Thriller
32,Crumb,1994,Documentary
33,Desperado,1995,Action,Romance
34,DoomGeneration,1995,Crime,Fantasy
35,FreeWilly2TheAdventureHome,1995,Adventure,Children
36,MadLove,1995,Drama,Romance
37,Nadja,1994,Drama
38,Net,1995,Thriller,war
39,StrangeDays,1995,Action,Crime
40,ToWongFoo,1995,Crime
41,BillyMadison,1995,Comedy
42,Clerks,1994,Comedy
43,Disclosure,1994,Drama,Thriller
44,DoloresClaiborne,1994,Drama,Thriller
45,EatDrinkManWoman,1994,Comedy,Drama
46,Exotica,1994,Drama
47,EdWood,1994,Comedy,Drama
48,HoopDreams,1994,Documentary
49,IQ,1994,Comedy,Romance
50,StarWars,1977,Action,Adventure
51,LegendsoftheFall,1994,Drama,Romance
52,MadnessofKingGeorge,1994,Fantasy
53,NaturalBornKillers,1994,Action,Thriller
54,Outbreak,1995,Action,Drama
55,Professional,1994,Documentary,Fantasy
56,PulpFiction,1994,Crime,Drama
57,Priest,1994,Drama
58,QuizShow,1994,Drama
59,ThreeColorsRed,1994,Drama
60,ThreeColorsBlue,1993,Drama
61,ThreeColorsWhite,1994,Drama
62,Stargate,1994,Action,Adventure
63,SantaClause,1994,Comedy,Crime
64,ShawshankRedemption,1994,Fantasy
65,WhatsEatingGilbertGrape,1993,Comedy,Drama
66,WhileYouWereSleeping,1995,Comedy,Romance
67,AceVenturaPetDetective,1994,Comedy
68,Crow,1994,Adventure,SciFi
69,ForrestGump,1994,Comedy,Romance
70,FourWeddingsandaFuneral,1994,Comedy,Romance
71,LionKing,1994,Children,Comedy
72,Mask,1994,Crime,Documentary
73,Maverick,1994,Action,Comedy
74,FasterPussycatKillKill,1965,Action,Comedy
75,BrotherMinisterTheAssassinationofMalcolmX,1994,Documentary
76,CarlitosWay,1993,Crime,Drama
77,Firm,1993,Fantasy,war
78,FreeWilly,1993,Adventure,Children
79,Fugitive,1993,Adventure,war
80,HotShotsPartDeux,1993,Action,Comedy
81,HudsuckerProxy,1994,Crime,SciFi
82,JurassicPark,1993,Action,Adventure
83,MuchAdoAboutNothing,1993,Comedy,Romance
84,RobertAHeinleinsThePuppetMasters,1994,Horror,SciFi
85,Ref,1994,Crime
86,RemainsoftheDay,1993,Fantasy
87,SearchingforBobbyFischer,1993,Drama
88,SleeplessinSeattle,1993,Comedy,Romance
89,BladeRunner,1982,FilmNoir,SciFi
90,SoIMarriedanAxeMurderer,1993,Comedy,Romance
91,NightmareBeforeChristmas,1993,Comedy,Crime
92,TrueRomance,1993,Action,Crime
93,WelcometotheDollhouse,1996,Comedy,Drama
94,HomeAlone,1990,Children,Comedy
95,Aladdin,1992,Animation,Children
96,Terminator2JudgmentDay,1991,Action,SciFi
97,DanceswithWolves,1990,Adventure,Drama
98,SilenceoftheLambs,1991,Fantasy,war
